,Nom scientifique,Nom français,Nom arabe,Noms vernaculaires,Origine géographique,Mois de débourrement,Période de croissance végétative,Période de floraison,Période de fructification,Période de maturité des fruits,Période de chute des feuilles,Famille botanique,Type de plante,Hauteur moyenne ou maximale,Type de feuilles,Forme des feuilles,Bord des feuilles,Disposition des feuilles,Couleur des fleurs,Structure florale,Type de fruit,Type de racine,intérêts,score
espèce1,Vicia faba,Fève,فول,['Loubia beldia'],"['Moyen-Orient', 'Afrique du Nord']",Mars,Mars à Juin,Avril à Mai,Mai à Juillet,Juin à Juillet,Juillet à Août,Fabaceae,Annuelle,0.5 à 1.8 m,Composées,Ovales,Entier,Alterne,Blanc avec des taches noires,Papilionacée,Gousse,Pivotante,"['- Culinaire: Utilisée dans de nombreux plats traditionnels, notamment en purée ou en ragoût.', '- Agricole: Utilisée comme engrais vert pour enrichir le sol en azote.', '- Médicinal: Utilisée dans la médecine traditionnelle pour ses propriétés diurétiques et digestives.']",
espèce2,Salvia × lavandulacea,Sauge lavande,,,['Méditerranée'],Mars,Avril à Septembre,Mai à Juillet,Juillet à Août,Août,Octobre à Novembre,Lamiaceae,Arbuste vivace,0.5 à 1 mètre,Persistantes,Lancéolées,Dentelées,Opposées,Bleu lavande,Inflorescence en épis,Akène,Racine pivotante,"['- Ornemental: Utilisée dans les jardins pour ses fleurs attrayantes et son feuillage aromatique.', '- Culinaire: Les feuilles peuvent être utilisées pour aromatiser des plats.']",
espèce3,Pittosporum heterophyllum,Pittospore à feuilles variables,,,"['Chine', 'Himalaya']",,,Avril à Mai,,,,Pittosporaceae,Arbuste,2 à 3 mètres,Persistantes,Elliptiques à lancéolées,Entier,Alternes,Jaune pâle,Petites fleurs en grappes,Capsule,,['- Ornemental: Utilisé dans les jardins pour ses feuilles persistantes et sa floraison parfumée.'],
espèce4,Ficus elastica,Figuier caoutchouc,فيكس إيلاستيكا,,"['Inde', 'Indonésie', 'Népal', 'Bhoutan', 'Birmanie', 'Malaisie']",,Toute l'année dans les climats tropicaux,,,,,Moraceae,Arbre à feuilles persistantes,"Jusqu'à 30-40 mètres dans son habitat naturel, mais généralement 2-3 mètres en intérieur",Persistantes,Ovale à elliptique,Entier,Alternée,Inconspicue,Inflorescence en sycone,Sycone,Racines aériennes et adventives,"[""- Ornemental: Utilisé comme plante d'intérieur populaire pour son feuillage brillant et sa capacité à purifier l'air."", '- Industriel: Source de latex utilisé pour produire du caoutchouc naturel.']",
espèce5,Pinus halepensis,Pin d'Alep,صنوبر حلبي,['زريبت'],"['Méditerranée occidentale', 'Afrique du Nord', 'Espagne', 'France', 'Italie', 'Grèce', 'Maroc', 'Algérie', 'Tunisie']",Mars à avril,Printemps à été,Avril à mai,Automne,Deux ans après la pollinisation,Persistant,Pinaceae,Conifère,15 à 25 mètres,Aiguilles,Aiguilles fines et longues,Lisse,Fasciculées par deux,Jaune,Cônes mâles et femelles séparés sur le même arbre,Cône,Pivotante avec racines latérales,"['- Ornemental: Utilisé dans les parcs et jardins pour sa résistance à la sécheresse et son aspect esthétique.', ""- Écologique: Joue un rôle important dans la stabilisation des sols et la prévention de l'érosion."", '- Industriel: Source de résine utilisée dans la fabrication de colophane et de térébenthine.']",
espèce6,Argania spinosa,Arganier,الأركان,['Argan'],"['Maroc', 'Algérie']",Mars à avril,Avril à septembre,Mai à juin,Juin à juillet,Juillet à août,Novembre à décembre,Sapotaceae,Arbre,8 à 10 mètres,Persistantes,Elliptique,Entier,Alternes,Jaune verdâtre,"Petites, à cinq pétales",Drupe,Pivotante,"[""- Médicinal: L'huile d'argan est utilisée pour ses propriétés anti-inflammatoires et antioxydantes."", ""- Culinaire: L'huile d'argan est utilisée comme huile alimentaire, notamment dans la cuisine marocaine."", ""- Cosmétique: L'huile d'argan est utilisée dans les produits de soin de la peau et des cheveux pour ses propriétés hydratantes."", ""- Écologique: L'arganier joue un rôle important dans la lutte contre la désertification et la préservation de la biodiversité.""]",
espèce7,Myoporum laetum,Myoporum,,,['Nouvelle-Zélande'],Mars,Mars à Octobre,Mai à Juillet,Août à Octobre,Septembre à Novembre,,Scrophulariaceae,Arbuste ou petit arbre,Jusqu'à 10 mètres,Persistantes,Lancéolées,Entier,Alternes,Blanc,Petites fleurs en grappes,Drupe,Racinaire,"['- Ornemental: Utilisé dans les jardins pour sa croissance rapide et son feuillage persistant.', '- Écologique: Planté pour la stabilisation des sols et la restauration des habitats.']",
espèce8,Pelargonium zonale,Géranium zonal,,,['Afrique du Sud'],Mars à avril,Avril à septembre,Mai à octobre,Juin à novembre,Juillet à novembre,Novembre à décembre,Geraniaceae,Plante herbacée vivace,30 à 60 cm,Simple,Ronde à réniforme,Lobée,Alternée,"Rose, rouge, blanc, violet",Inflorescence en ombelle,Capsule,Fasciculée,"[""- Ornemental: Utilisé pour la décoration des jardins, balcons et terrasses en raison de ses fleurs colorées et de sa facilité d'entretien."", '- Médicinal: Utilisé en médecine traditionnelle pour ses propriétés antiseptiques et anti-inflammatoires.']",
espèce9,Kleinia neriifolia,Séneçon à feuilles de laurier,,,['Îles Canaries'],,Printemps à été,Automne,,,,Asteraceae,Succulente,Jusqu'à 2 mètres,Persistantes,Lancéolées,Entier,Alternes,Jaune,Capitules,Akène,Fasciculée,['- Ornemental: Utilisée dans les jardins secs et les rocailles pour son aspect graphique et sa résistance à la sécheresse.'],
espèce10,Lavandula dentata,Lavande dentée,,,"['Méditerranée occidentale', 'Espagne', 'Portugal', 'Afrique du Nord']",Mars à avril,Avril à septembre,Juin à août,Août à septembre,Septembre,,Lamiaceae,Arbuste,"0,6 à 1 mètre",Persistantes,Lancéolées,Dentelée,Opposée,Violet pâle,Épis,Akène,Pivotante,"['- Ornemental: Utilisée dans les jardins pour ses fleurs décoratives et son feuillage aromatique.', '- Médicinal: Utilisée en aromathérapie pour ses propriétés relaxantes et apaisantes.']",
espèce11,Rosa abietina,Rosier des sapins,,,"['Europe', 'Asie occidentale']",Avril,Avril à Septembre,Juin à Juillet,Août à Septembre,Septembre à Octobre,Octobre à Novembre,Rosaceae,Arbuste,1 à 2 mètres,Caduques,Ovale à lancéolée,Denté,Alternée,Rose,Fleurs simples à cinq pétales,Cynorhodon,Pivotante,"['- Ornemental: Utilisé dans les jardins pour ses belles fleurs et son feuillage attrayant.', '- Écologique: Fournit un habitat et de la nourriture pour les insectes pollinisateurs et les oiseaux.']",
espèce13,Argyranthemum frutescens,Marguerite des Canaries,,,"['Îles Canaries', 'Madère']",Mars,Avril à septembre,Mai à octobre,Juin à novembre,Juillet à décembre,,Asteraceae,Arbuste vivace,30 à 100 cm,Persistantes,Lancéolées,Denté,Alternes,"Blanc, rose, jaune",Capitule,Akène,Fasciculée,"['- Ornemental: Utilisée dans les jardins pour ses fleurs abondantes et colorées.', '- Écologique: Attire les pollinisateurs tels que les abeilles et les papillons.']",
espèce14,Melaleuca viminalis,Melaleuca à feuilles de saule,,,['Australie'],Printemps,Printemps à été,Printemps à été,Été à automne,Automne,Hiver,Myrtaceae,Arbre,Jusqu'à 10 mètres,Persistantes,Linéaires à lancéolées,Entier,Alternes,Rouge,Épis cylindriques,Capsule ligneuse,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses fleurs rouges attrayantes et sa capacité à attirer les oiseaux.', '- Écologique: Planté pour la stabilisation des sols et la réhabilitation des zones dégradées.']",
espèce15,Yucca gigantea,Yucca géant,,,"['Amérique centrale', 'Mexique']",,Printemps à été,Été,Fin été à automne,,,Asparagaceae,Arbuste,Jusqu'à 10 mètres,Persistantes,Lancéolées,Lisse,Rosette,Blanc,Inflorescence en panicule,Capsule,Fasciculée,"['- Ornemental: Utilisé dans les jardins et les aménagements paysagers pour son aspect architectural et sa résistance à la sécheresse.', '- Écologique: Peut être utilisé pour la stabilisation des sols dans les régions arides.']",
